,Entity,Currency,AlphabeticCode,NumericCode,MinorUnit,WithdrawalDate
275,ZZ09_Palladium,Palladium,XPD,964.0,-,
276,ZZ10_Platinum,Platinum,XPT,962.0,-,
277,ZZ11_Silver,Silver,XAG,961.0,-,
278,AFGHANISTAN,Afghani,AFA,4.0,,2003-01
279,ÅLAND ISLANDS,Markka,FIM,246.0,,2002-03
280,ALBANIA,Old Lek,ALK,,,1989-12
281,ANDORRA,Andorran Peseta,ADP,20.0,,2003-07
282,ANDORRA,Spanish Peseta,ESP,724.0,,2002-03
283,ANDORRA,French Franc,FRF,250.0,,2002-03
284,ANGOLA,Kwanza,AOK,,,1991-03
